block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,header_animal_category,new_outbreaks
2015|Jan-Jun 2015|Jigawa|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Jigawa,Jigawa,Both animal categories,3.0
2015|Jan-Jun 2015|Kaduna|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Kaduna,Kaduna,Both animal categories,3.0
2015|Jan-Jun 2015|Kano|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Kano,Kano,Both animal categories,29.0
2015|Jan-Jun 2015|Lagos|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,4.0
2015|Jan-Jun 2015|Nasarawa|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,1.0
2015|Jan-Jun 2015|Ogun|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Ogun,Ogun,Both animal categories,4.0
2015|Jan-Jun 2015|Osun|Rabies|,2015,Jan-Jun 2015,Rabies,,state,Osun,Osun,Both animal categories,1.0
2015|Jan-Jun 2015|Osun|Trypanosomosis|,2015,Jan-Jun 2015,Trypanosomosis,,state,Osun,Osun,Both animal categories,1.0
2015|Jan-Jun 2015|Oyo|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Oyo,Oyo,Both animal categories,2.0
2015|Jan-Jun 2015|Oyo|Trypanosomosis|,2015,Jan-Jun 2015,Trypanosomosis,,state,Oyo,Oyo,Both animal categories,1.0
2015|Jan-Jun 2015|Plateau|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Plateau,Plateau,Both animal categories,117.0
2015|Jan-Jun 2015|Rivers|HPAI|H5N1,2015,Jan-Jun 2015,HPAI,H5N1,state,Rivers,Rivers,Both animal categories,3.0
2015|Jul-Dec 2015|Abia|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Abia,Abia,Both animal categories,2.0
2015|Jul-Dec 2015|Adamawa|Rabies|,2015,Jul-Dec 2015,Rabies,,state,Adamawa,Adamawa,Both animal categories,1.0
2015|Jul-Dec 2015|Anambra|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Anambra,Anambra,Both animal categories,1.0
2015|Jul-Dec 2015|Bayelsa|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Bayelsa,Bayelsa,Both animal categories,1.0
2015|Jul-Dec 2015|Delta|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Delta,Delta,Both animal categories,3.0
2015|Jul-Dec 2015|Edo|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Edo,Edo,Both animal categories,2.0
2015|Jul-Dec 2015|Enugu|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Enugu,Enugu,Both animal categories,3.0
2015|Jul-Dec 2015|Federal Capital Territory|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,1.0
2015|Jul-Dec 2015|Gombe|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Gombe,Gombe,Both animal categories,1.0
2015|Jul-Dec 2015|Jigawa|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Jigawa,Jigawa,Both animal categories,1.0
2015|Jul-Dec 2015|Kaduna|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Kaduna,Kaduna,Both animal categories,1.0
2015|Jul-Dec 2015|Kano|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Kano,Kano,Both animal categories,4.0
2015|Jul-Dec 2015|Lagos|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,17.0
2015|Jul-Dec 2015|Nasarawa|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,1.0
2015|Jul-Dec 2015|Ogun|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Ogun,Ogun,Both animal categories,1.0
2015|Jul-Dec 2015|Osun|Trypanosomosis|,2015,Jul-Dec 2015,Trypanosomosis,,state,Osun,Osun,Both animal categories,1.0
2015|Jul-Dec 2015|Oyo|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Oyo,Oyo,Both animal categories,3.0
2015|Jul-Dec 2015|Rivers|HPAI|H5N1,2015,Jul-Dec 2015,HPAI,H5N1,state,Rivers,Rivers,Both animal categories,36.0
2016|Jan-Jun 2016|Adamawa|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Adamawa,Adamawa,Both animal categories,3.0
2016|Jan-Jun 2016|Bauchi|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Bauchi,Bauchi,Both animal categories,4.0
2016|Jan-Jun 2016|Bayelsa|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Bayelsa,Bayelsa,Both animal categories,1.0
2016|Jan-Jun 2016|Benue|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Benue,Benue,Both animal categories,1.0
2016|Jan-Jun 2016|Delta|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Delta,Delta,Both animal categories,1.0
2016|Jan-Jun 2016|Ebonyi|HPAI|H5N1,2016,Jan-Jun 2016,HPAI,H5N1,state,Ebonyi,Ebonyi,Both animal categories,2.0
