block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,animal_category,species,measuring_units,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated,all_counts_missing
2012|Jul-Dec 2012|Ekiti|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Ekiti,Ekiti,Domestic,Dogs,Animal,1500.0,2.0,0.0,0.0,2.0,0.0,False
2012|Jul-Dec 2012|Kaduna|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Kaduna,Kaduna,Domestic,Dogs,Animal,12.0,1.0,0.0,0.0,1.0,0.0,False
2012|Jul-Dec 2012|Kogi|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Kogi,Kogi,Domestic,Dogs,Animal,500.0,70.0,0.0,0.0,6.0,0.0,False
2012|Jul-Dec 2012|Niger|Trypanosomosis|,2012,Jul-Dec 2012,Trypanosomosis,,state,Niger,Niger,Domestic,Cattle,Animal,400.0,10.0,0.0,0.0,2.0,,False
2012|Jul-Dec 2012|Osun|Rabies|RABV,2012,Jul-Dec 2012,Rabies,RABV,state,Osun,Osun,Domestic,Dogs,Animal,4.0,1.0,0.0,0.0,1.0,0.0,False
2012|Jul-Dec 2012|Plateau|Rabies|not typed,2012,Jul-Dec 2012,Rabies,not typed,state,Plateau,Plateau,Domestic,Dogs,Animal,4.0,2.0,2.0,0.0,0.0,0.0,False
2013|Jan-Jun 2013|Anambra|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Anambra,Anambra,Domestic,Dogs,Animal,5.0,3.0,0.0,0.0,3.0,2.0,False
2013|Jan-Jun 2013|Bauchi|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Bauchi,Bauchi,Domestic,Cattle,Animal,,,,,,,True
2013|Jan-Jun 2013|Bauchi|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Bauchi,Bauchi,Domestic,Dogs,Animal,,,,,,,True
2013|Jan-Jun 2013|Ekiti|Rabies|not typed,2013,Jan-Jun 2013,Rabies,not typed,state,Ekiti,Ekiti,Domestic,Dogs,Animal,250.0,1.0,0.0,0.0,1.0,0.0,False
2013|Jan-Jun 2013|Enugu|Trypanosomosis|,2013,Jan-Jun 2013,Trypanosomosis,,state,Enugu,Enugu,Domestic,Swine,Animal,3.0,3.0,,,,,False
