Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2007,Jan-Jun 2007,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,31197,Animal,2500,5875,0,7449,0
2007,Jan-Jun 2007,Africa,Nigeria,"Kano","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,32,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Kano","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,85271,Animal,-,-,0,4290,0
2007,Jan-Jun 2007,Africa,Nigeria,"Katsina","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,18,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Katsina","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,93438,Animal,-,4572,0,6143,0
2007,Jan-Jun 2007,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Lagos","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,4244,Animal,-,-,0,867,0
2007,Jan-Jun 2007,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Nasarawa","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Oyo","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,15000,Animal,8600,2400,0,8600,0
2007,Jan-Jun 2007,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,10,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,12802,Animal,-,-,0,1532,0
2007,Jan-Jun 2007,Africa,Nigeria,"Sokoto","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Sokoto","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2007,Jan-Jun 2007,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,68,Animal,-,-,0,1,0
